2026-01-21 12:43:27.732638: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.998}
2026-01-21 12:43:30.086918: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.998}
2026-01-21 12:43:32.543582: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.998}
2026-01-21 12:43:34.657209: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.998}
2026-01-21 12:43:36.945405: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.998}
2026-01-21 12:43:39.403177: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.998}
2026-01-21 12:43:41.553232: Received {'room': 'room-1', 'temperature': 21.839, 'humidity': 28.998}
2026-01-21 12:43:44.112407: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.998}
2026-01-21 12:43:46.263360: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.998}
2026-01-21 12:43:48.472674: Received {'room': 'room-1', 'temperature': 21.839, 'humidity': 28.998}
2026-01-21 12:43:50.769054: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.998}
2026-01-21 12:43:53.444324: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.998}
2026-01-21 12:43:55.768658: Received {'room': 'room-1', 'temperature': 21.839, 'humidity': 28.998}
2026-01-21 12:43:57.904906: Received {'room': 'room-1', 'temperature': 21.834, 'humidity': 28.998}
2026-01-21 12:44:00.295140: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.998}
2026-01-21 12:44:02.548928: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 28.998}
2026-01-21 12:44:04.795864: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.998}
2026-01-21 12:44:07.157119: Received {'room': 'room-1', 'temperature': 21.839, 'humidity': 28.998}
2026-01-21 12:44:09.510339: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.998}
2026-01-21 12:44:11.764572: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.959}
2026-01-21 12:44:14.119023: Received {'room': 'room-1', 'temperature': 21.839, 'humidity': 28.979}
2026-01-21 12:44:16.369456: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.998}
2026-01-21 12:44:18.623872: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.979}
2026-01-21 12:44:20.879058: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.939}
2026-01-21 12:44:23.128533: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.939}
2026-01-21 12:44:25.380282: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.959}
2026-01-21 12:44:27.736235: Received {'room': 'room-1', 'temperature': 21.839, 'humidity': 28.959}
2026-01-21 12:44:29.992252: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.939}
2026-01-21 12:44:32.196296: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.979}
2026-01-21 12:44:34.497006: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.979}
2026-01-21 12:44:36.955945: Received {'room': 'room-1', 'temperature': 21.844, 'humidity': 28.979}
2026-01-21 12:44:39.106983: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 28.959}
